conversation_id,message_count,first_message_time,last_message_time,customer_message_count,company_message_count,has_customer_message,has_company_response,is_resolved_candidate,conversation_duration_hours,brand
100001,7,2017-11-23T17:20:13Z,2017-11-23T18:15:45Z,4,3,True,True,True,0.9255555555555556,AmazonHelp
1000121,5,2017-10-22T17:21:06Z,2017-10-22T17:56:09Z,3,2,True,True,True,0.5841666666666666,AmazonHelp
1000122,2,2017-10-22T17:21:46Z,2017-10-22T17:27:00Z,1,1,True,True,True,0.08722222222222223,AmazonHelp
1000124,2,2017-10-22T17:16:40Z,2017-10-22T17:26:41Z,1,1,True,True,True,0.16694444444444445,AmazonHelp
1000126,2,2017-10-22T17:18:55Z,2017-10-22T17:24:29Z,1,1,True,True,True,0.09277777777777778,AmazonHelp
1000129,3,2017-10-22T17:02:23Z,2017-10-22T21:26:29Z,2,1,True,True,True,4.401666666666666,AmazonHelp
1000141,2,2017-10-22T17:07:06Z,2017-10-22T17:22:30Z,1,1,True,True,True,0.25666666666666665,AmazonHelp
1000153,2,2017-10-22T17:05:50Z,2017-10-22T17:20:29Z,1,1,True,True,True,0.24416666666666667,AmazonHelp
1000162,7,2017-10-21T09:21:56Z,2017-10-22T17:20:29Z,2,5,True,True,True,31.975833333333334,AmazonHelp
1000163,2,2017-10-22T17:14:40Z,2017-10-22T17:19:00Z,1,1,True,True,True,0.07222222222222222,AmazonHelp
1000191,5,2017-10-22T16:53:13Z,2017-10-22T17:44:01Z,2,3,True,True,True,0.8466666666666667,AmazonHelp
1000199,7,2017-10-22T17:08:24Z,2017-10-22T17:54:00Z,5,2,True,True,True,0.76,AmazonHelp
1000200,2,2017-10-22T16:49:48Z,2017-10-22T17:15:00Z,1,1,True,True,True,0.42,AmazonHelp
1000983,5,2017-09-17T16:55:20Z,2017-10-14T12:41:00Z,2,3,True,True,True,643.7611111111111,AmazonHelp
1000986,3,2017-10-14T12:36:21Z,2017-10-14T12:44:35Z,1,2,True,True,True,0.13722222222222222,AmazonHelp
1001001,15,2017-10-14T12:17:33Z,2017-10-15T12:22:53Z,9,6,True,True,True,24.08888888888889,AmazonHelp
1001002,4,2017-10-14T09:30:35Z,2017-10-14T12:42:00Z,2,2,True,True,True,3.1902777777777778,AmazonHelp
1001007,5,2017-10-14T12:16:26Z,2017-10-14T14:59:19Z,3,2,True,True,True,2.714722222222222,AmazonHelp
1001019,12,2017-10-14T12:25:27Z,2017-10-14T13:52:54Z,5,7,True,True,True,1.4575,AmazonHelp
