sample_brand,conv_id,tweet_id,created_at,author_id,inbound,text
AmazonHelp,211185,246329,Mon Oct 23 05:30:41 +0000 2017,174515,True,@AmazonHelp Detail s shared
AmazonHelp,211185,246330,Mon Oct 23 05:37:00 +0000 2017,AmazonHelp,False,"@174515 We've sent a correspondence to your registered email address, request you to check the same. ^SH"
AmazonHelp,211185,246322,Sat Oct 14 16:51:01 +0000 2017,174515,True,@AmazonHelp really pathetic from last 5 month you people is not coming to pick up the product still request is in process how many year u required
AmazonHelp,211185,246324,Sat Oct 14 16:59:37 +0000 2017,AmazonHelp,False,@174515 Apologies for the ordeal Somya. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN
AmazonHelp,211185,246321,Sat Sep 30 14:19:19 +0000 2017,174515,True,@115850 I have requested 2 return the a product it's accept ed as well but instead of many reminders no body come for pick Up _9873930121
AmazonHelp,211185,246319,Sat Sep 30 14:38:52 +0000 2017,AmazonHelp,False,@174515 Apologies for the trouble you've had with the pick up.1/2 ^MM
AmazonHelp,211185,246323,Sun Oct 22 15:14:52 +0000 2017,174515,True,@AmazonHelp How.may times I raised a request on Amazon and call u
AmazonHelp,211185,246325,Sun Oct 22 15:41:27 +0000 2017,AmazonHelp,False,"@174515 I'm sorry for the stretch, I’d like to help you. Please share details:https://t.co/beaaDm0muc and I’ll contact you soon. ^VR"
AmazonHelp,211185,246326,Sun Oct 22 16:12:45 +0000 2017,174515,True,"@AmazonHelp My registered I'd is __email__ and cont no 8373916808 , no option to raised any request order no 404 -8884235-4161902"
AmazonHelp,211185,246328,Sun Oct 22 16:33:40 +0000 2017,AmazonHelp,False,"@174515 I understand your concern, Somya. Please share your details in the link provided earlier. Appreciate your understanding. ^HD"
AmazonHelp,211185,246327,Sun Oct 22 16:34:02 +0000 2017,AmazonHelp,False,"@174515 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD"
AmazonHelp,211185,246320,Thu Oct 05 15:15:47 +0000 2017,174515,True,@AmazonHelp Not done any pick up yet
